기업명,신규상장일,공모가(원),시초가(원),시초/공모(%),첫날종가(원)
이오플로우,2020/09/14,"19,000","21,750",14.47%,"20,000"
카카오게임즈,2020/09/10,"24,000","48,000",100%,"62,400"
피엔케이피부임상연구센타,2020/09/09,"18,300","28,000",53.01%,"26,800"
코람코에너지플러스리츠(유가),2020/08/31,"5,000","4,800",-4%,"4,735"
미래에셋대우스팩5호,2020/08/28,"2,000","2,000",0%,"2,010"
아이디피,2020/08/24,"9,800","13,200",34.69%,"12,500"
셀레믹스,2020/08/21,"20,000","24,900",24.5%,"25,800"
미투젠,2020/08/18,"27,000","29,100",7.78%,"25,500"
브랜드엑스코퍼레이션,2020/08/13,"13,000","12,900",-0.77%,"11,700"
영림원소프트랩,2020/08/12,"11,500","17,600",53.04%,"13,650"
한국파마,2020/08/10,"9,000","18,000",100%,"16,850"
제이알글로벌리츠(유가),2020/08/07,"5,000","4,700",-6%,"4,825"
이루다,2020/08/06,"9,000","18,000",100%,"17,650"
이지스레지던스리츠(유가),2020/08/05,"5,000","4,500",-10%,"4,190"
미래에셋맵스리츠1호(유가),2020/08/05,"5,000","4,500",-10%,"4,350"
와이팜,2020/07/31,"11,000","15,550",41.36%,"18,800"
이엔드디,2020/07/30,"14,400","18,200",26.39%,"21,000"
엠투아이,2020/07/29,"15,600","18,850",20.83%,"15,900"
에이치엠씨아이비스팩4호,2020/07/29,"2,000","2,010",0.5%,"2,000"
더네이쳐홀딩스,2020/07/27,"46,000","41,400",-10%,"43,000"
제놀루션,2020/07/24,"14,000","28,000",100%,"24,750"
솔트룩스,2020/07/23,"25,000","40,000",60%,"34,300"
하나금융스팩16호,2020/07/23,"2,000","2,020",1%,"2,020"
티에스아이,2020/07/22,"10,000","20,000",100%,"17,200"
이지스밸류플러스리츠(유가),2020/07/16,"5,000","4,800",-4%,"4,410"
에이프로,2020/07/16,"21,600","43,200",100%,"56,100"
IBKS스팩13호,2020/07/15,"2,000","2,010",0.5%,"2,010"
소마젠,2020/07/13,"11,000","11,650",5.91%,"15,100"
신도기연,2020/07/06,"16,000","32,000",100%,"22,400"
위더스제약,2020/07/03,"15,900","31,800",100%,"34,400"
SK바이오팜(유가),2020/07/02,"49,000","98,000",100%,"127,000"
마크로밀엠브레인,2020/07/01,"6,800","13,600",100%,"16,050"
젠큐릭스,2020/06/25,"22,700","25,100",10.57%,"21,650"
IBKS스팩14호,2020/06/22,"2,000","2,010",0.5%,"2,010"
엘이티,2020/06/22,"7,800","15,600",100%,"20,250"
에스씨엠생명과학,2020/06/17,"17,000","29,500",73.53%,"36,100"
엔에이치스팩16호,2020/06/17,"2,000","2,005",0.25%,"2,005"
드림씨아이에스,2020/05/22,"14,900","28,000",87.92%,"30,500"
이베스트스팩5호,2020/05/20,"2,000","2,000",0%,"2,000"
케이프이에스스팩4호,2020/03/24,"2,000","2,005",0.25%,"1,980"
엔피디,2020/03/16,"5,400","4,860",-10%,"3,775"
