,company,listing_data,offering_price,starting_price,label,closing_price,stock_market,company_size,sales,profit_before_tax,income,capital,offering_number,par_value,old_sales_ratio,general_competition_rate,offering_price_total,subscription_limit,offering_date,ownership_ratio,institutional_ratio,subscription_margin_rate,institutional_competition_rate,obligatory,desired_offering_price_min,desired_offering_price_max,desired_offering_price,manager,manager_rank,topic,topic_per,each_topic_per
165,크래프톤,2021-08-10,498000,448500,0,454000,거래소,중소일반,1670427,666768,556267,4889,8654230,100,35.01,7.79,4309807,39000,2021-08-03,20.0,75.0,50%,243.15,22.05,400000,498000,1,미래에셋,1.0,3,0.886,"[(0, 0.034188733), (1, 0.027420066), (2, 0.023148712), (3, 0.8859616), (4, 0.029280895)]"
166,에이치케이이노엔,2021-08-09,59000,68100,0,68500,코스닥,중소일반,515289,90469,67061,14452,10117000,500,42.86,388.9,596903,45000,2021-07-30,20.0,75.0,50%,1871.36,13.49,50000,59000,1,한국,2.0,3,0.7354,"[(0, 0.079316005), (1, 0.06361305), (2, 0.05370358), (3, 0.7354373), (4, 0.06793008)]"
167,카카오뱅크,2021-08-06,39000,53700,0,69800,거래소,중소일반,804157,122332,113636,2375501,65450000,5000,0.0,181.1,2552550,880000,2021-07-27,20.0,75.0,50%,1732.83,45.28,33000,39000,1,한국,2.0,4,0.7278,"[(0, 0.079394646), (1, 0.063615136), (2, 0.05370528), (3, 0.07547037), (4, 0.72781456)]"
168,에브리봇,2021-07-28,36700,33050,0,30300,코스닥,중소일반,49165,503,-902,3047,1120000,500,25.0,159.42,41104,11200,2021-07-20,4.86,75.0,50%,576.74,0.67,32600,36700,1,NH,4.0,0,0.4427,"[(0, 0.44266084), (1, 0.43859896), (2, 0.03235319), (3, 0.045463983), (4, 0.040922973)]"
169,맥스트,2021-07-27,15000,30000,1,39000,코스닥,중소일반,1983,-8921,-8921,4266,1000000,500,0.0,6762.75,15000,12000,2021-07-19,18.9,75.0,50%,1587.01,39.13,11000,13000,2,하나,8.0,3,0.886,"[(0, 0.034188733), (1, 0.027420066), (2, 0.023148708), (3, 0.8859616), (4, 0.029280895)]"
170,큐라클,2021-07-22,25000,36500,0,30650,코스닥,중소일반,0,-28610,-28610,6677,2133333,500,6.25,1546.9,53333,22500,2021-07-14,0.0,75.0,50%,1219.27,7.23,20000,25000,1,삼성,3.0,1,0.8809,"[(0, 0.03418874), (1, 0.88085175), (2, 0.023148648), (3, 0.03252997), (4, 0.029280903)]"
171,에스디바이오센서,2021-07-16,52000,57000,0,61000,거래소,중소일반,73728,563,1399,51635,12442200,500,41.67,274.02,646994,52000,2021-07-09,20.0,75.0,50%,1143.76,12.45,45000,52000,1,한국,2.0,0,0.8429,"[(0, 0.84294015), (1, 0.0383218), (2, 0.03235236), (3, 0.04546329), (4, 0.04092242)]"
172,오비고,2021-07-13,14300,19200,0,20700,코스닥,중소일반,10229,-5308,-5332,5641,2211820,500,0.0,1485.15,31629,22000,2021-07-02,5.0,75.0,50%,1123.74,7.68,12400,14300,1,NH,4.0,3,0.9273,"[(0, 0.021790903), (1, 0.017476745), (2, 0.014754263), (3, 0.92731535), (4, 0.018662782)]"
173,아모센스,2021-06-25,12400,12250,0,15900,코스닥,중소일반,62028,-705,-1196,5600,2779858,500,20.0,26.55,34470,69400,2021-06-16,5.0,70.0,50%,116.79,2.57,12400,15200,1,신한,6.0,1,0.7236,"[(0, 0.079315856), (1, 0.7235831), (2, 0.053703494), (3, 0.0754676), (4, 0.06792997)]"
174,이노뎁,2021-06-18,18000,22200,0,18050,코스닥,중소일반,60760,1722,1653,3475,1050000,500,0.0,692.12,18900,26250,2021-06-10,20.0,75.0,50%,1573.93,6.05,14000,18000,1,하이,13.0,3,0.886,"[(0, 0.034188736), (1, 0.027420068), (2, 0.023148706), (3, 0.8859616), (4, 0.029280897)]"
175,라온테크,2021-06-17,18000,20250,0,20500,코스닥,중소일반,12632,-1455,-1432,2443,500000,500,0.0,779.1,9000,4000,2021-06-08,10.0,70.0,50%,1526.2,8.9,12800,15800,2,KB,5.0,4,0.8827,"[(0, 0.034188744), (1, 0.027420077), (2, 0.02314865), (3, 0.032529972), (4, 0.88271254)]"
176,엘비루셈,2021-06-11,14000,18000,0,15200,코스닥,중소일반,209770,20835,17105,12300,6000000,500,33.33,824.51,84000,35000,2021-06-03,0.0,75.0,50%,1419.23,4.48,12000,14000,1,한국,2.0,4,0.7279,"[(0, 0.07931601), (1, 0.06361306), (2, 0.053703584), (3, 0.07546774), (4, 0.7278996)]"
177,에이디엠코리아,2021-06-03,3800,7600,1,9880,코스닥,중소일반,10206,873,653,2183,4500000,100,0.0,2345.4,17100,55000,2021-05-26,15.0,60.0,50%,1515.98,12.35,2900,3300,2,하나,8.0,1,0.8809,"[(0, 0.034188744), (1, 0.88085175), (2, 0.02314865), (3, 0.032529972), (4, 0.029280907)]"
178,제주맥주,2021-05-26,3200,4780,0,4900,코스닥,중소일반,7317,-13955,-13955,27997,8362000,500,0.0,1747.82,26758,100000,2021-05-14,0.0,75.0,50%,1356.43,5.47,2600,2900,2,대신,9.0,0,0.2333,"[(0, 0.23326142), (1, 0.18708047), (2, 0.1579376), (3, 0.22194403), (4, 0.19977646)]"
179,진시스템,2021-05-26,20000,19100,0,17400,코스닥,중소일반,1135,-4041,-4041,3405,1425000,500,0.0,354.58,28500,17000,2021-05-14,2.38,72.62,50%,934.07,1.5,16000,20000,1,삼성,3.0,0,0.8429,"[(0, 0.84294015), (1, 0.0383218), (2, 0.03235236), (3, 0.04546329), (4, 0.04092242)]"
180,삼영에스앤씨,2021-05-21,11000,22000,1,28600,코스닥,중소일반,14489,640,633,2209,1105000,500,0.0,2392.84,12155,0,2021-05-12,6.7,68.3,50%,1762.39,15.27,7800,10000,2,미래에셋,1.0,1,0.7236,"[(0, 0.07931587), (1, 0.72358304), (2, 0.053703506), (3, 0.07546762), (4, 0.067929976)]"
181,샘씨엔에스,2021-05-20,6500,6400,0,8320,코스닥,중소일반,20985,478,556,25076,12000000,500,16.67,1104.29,78000,150000,2021-05-11,2.17,75.0,50%,1537.67,26.07,5000,5700,2,대신,9.0,1,0.7236,"[(0, 0.07931586), (1, 0.72358304), (2, 0.0537035), (3, 0.07546761), (4, 0.06792997)]"
182,씨앤씨인터내셔널,2021-05-17,47500,47250,0,41150,코스닥,중소일반,81598,7128,6637,590,1480000,100,40.0,898.0,70300,10000,2021-05-07,3.02,75.0,50%,1029.14,5.28,35000,47500,1,삼성,3.0,0,0.8876,"[(0, 0.88761884), (1, 0.027420435), (2, 0.023148762), (3, 0.032529984), (4, 0.029281953)]"
183,에이치피오,2021-05-14,22200,20000,0,16750,코스닥,중소일반,58604,11482,8761,9969,3987632,500,25.0,95.01,88525,39500,2021-05-04,2.35,72.65,50%,252.13,4.12,22200,25400,1,키움,7.0,3,0.8859,"[(0, 0.034254912), (1, 0.027420666), (2, 0.023149136), (3, 0.88589376), (4, 0.02928154)]"
184,SK아이이테크놀로지,2021-05-11,105000,210000,1,154500,거래소,중소일반,263037,76617,63684,71297,21390000,1000,0.0,288.17,2245950,0,2021-04-29,20.0,75.0,50%,1882.88,63.2,78000,105000,1,미래에셋,1.0,0,0.8429,"[(0, 0.84293956), (1, 0.038321987), (2, 0.032352284), (3, 0.045463536), (4, 0.04092266)]"
185,쿠콘,2021-04-28,45000,80000,0,65500,코스닥,중소일반,39526,10444,8382,3972,1612319,500,19.37,1596.32,72554,14000,2021-04-20,5.0,75.0,50%,1594.61,30.9,31000,40000,2,삼성,3.0,2,0.8765,"[(0, 0.03424915), (1, 0.027420115), (2, 0.8765184), (3, 0.03253055), (4, 0.02928171)]"
186,해성티피씨,2021-04-21,13000,26000,1,33800,코스닥,중소일반,15327,-1518,-1518,2315,1000000,500,0.0,2053.27,13000,8000,2021-04-13,0.0,75.0,50%,1508.95,16.05,9500,11500,2,한국,2.0,4,0.8827,"[(0, 0.034193385), (1, 0.027420139), (2, 0.023148702), (3, 0.03253005), (4, 0.8827077)]"
187,이삭엔지니어링,2021-04-21,11500,23000,1,26150,코스닥,중소일반,32759,3014,2679,4144,2100000,500,0.0,2262.09,24150,52500,2021-04-13,1.9,73.1,50%,1427.15,20.73,9500,11500,1,신한,6.0,3,0.9273,"[(0, 0.021790903), (1, 0.017476745), (2, 0.014754263), (3, 0.92731535), (4, 0.018662782)]"
188,엔시스,2021-04-01,19000,38000,1,31400,코스닥,중소일반,31884,2514,1912,1040,2300000,100,29.13,2573.6,43700,28000,2021-03-23,0.0,75.0,50%,1467.73,21.73,13000,16500,2,미래에셋,1.0,0,0.8876,"[(0, 0.8876127), (1, 0.027420212), (2, 0.023150174), (3, 0.03253012), (4, 0.02928681)]"
189,자이언트스텝,2021-03-24,11000,22000,1,28600,코스닥,중소일반,12839,-3895,-4430,4713,1400000,500,0.0,2342.0,15400,11000,2021-03-16,8.9,75.0,50%,1691.65,24.42,9000,11000,1,한국,2.0,4,0.9367,"[(0, 0.018446282), (1, 0.014794291), (2, 0.012489675), (3, 0.017551301), (4, 0.93671846)]"
190,제노코,2021-03-24,36000,65000,0,80100,코스닥,중소일반,32927,2931,2198,1221,490000,500,0.0,2095.45,17640,12000,2021-03-16,6.0,75.0,50%,1452.49,22.15,27000,33000,2,DB,15.0,4,0.8827,"[(0, 0.03420609), (1, 0.027420158), (2, 0.023148712), (3, 0.032530066), (4, 0.88269496)]"
191,라이프시맨틱스,2021-03-23,12500,25000,1,17500,코스닥,중소일반,1162,-3963,-3963,4888,1000000,500,0.0,1774.57,12500,8000,2021-03-12,0.0,75.0,50%,1402.17,3.78,9000,12500,1,한국,2.0,3,0.886,"[(0, 0.03418873), (1, 0.027420064), (2, 0.023148704), (3, 0.8859616), (4, 0.029280894)]"
192,SK바이오사이언스,2021-03-18,65000,130000,1,169000,거래소,중소일반,183938,18485,14677,38250,22950000,500,33.33,335.36,1491750,84000,2021-03-10,20.0,75.0,50%,1275.47,59.92,49000,65000,1,미래에셋,1.0,3,0.9273,"[(0, 0.021798186), (1, 0.017476702), (2, 0.014754354), (3, 0.927308), (4, 0.018662736)]"
193,바이오다인,2021-03-17,30000,40000,0,42600,코스닥,중소일반,4089,-2469,-2026,3084,1000000,500,0.0,48.36,30000,12500,2021-03-09,0.0,75.0,50%,1364.85,8.8,22500,28700,2,대신,9.0,0,0.8429,"[(0, 0.84294015), (1, 0.038321804), (2, 0.032352366), (3, 0.045463294), (4, 0.040922422)]"
194,네오이뮨텍,2021-03-16,7500,15000,1,14350,코스닥,중소일반,0,0,0,0,15000000,0,0.0,664.65,112500,120000,2021-03-05,0.0,75.0,50%,1374.09,25.54,5400,6400,2,미래에셋,1.0,1,0.8809,"[(0, 0.03418874), (1, 0.88085175), (2, 0.023148648), (3, 0.03252997), (4, 0.029280903)]"
195,프레스티지바이오로직스,2021-03-11,12400,12100,0,14300,코스닥,중소일반,185,-22057,-22057,21425,7350000,500,0.0,126.06,91140,64000,2021-03-03,0.0,75.0,50%,369.91,6.5,8700,12400,1,미래에셋,1.0,3,0.7354,"[(0, 0.079316005), (1, 0.06361305), (2, 0.05370358), (3, 0.7354373), (4, 0.06793008)]"
196,싸이버원,2021-03-11,9500,18000,0,21200,코스닥,중소일반,22372,2103,1903,2320,1361000,500,55.91,1880.43,12930,20000,2021-03-03,0.0,75.0,50%,1303.1,9.7,7600,8300,2,키움,7.0,3,0.886,"[(0, 0.034188733), (1, 0.027420066), (2, 0.02314871), (3, 0.8859616), (4, 0.029280895)]"
197,나노씨엠에스,2021-03-09,20000,33000,0,23950,코스닥,중소일반,3978,-1691,-1691,2104,800000,500,0.0,1243.48,16000,12000,2021-02-26,2.0,75.0,50%,1295.75,6.65,14500,18500,2,키움,7.0,1,0.7236,"[(0, 0.07931586), (1, 0.72358304), (2, 0.0537035), (3, 0.07546761), (4, 0.06792997)]"
198,뷰노,2021-02-26,21000,32900,0,32150,코스닥,중소일반,162,-5913,-5913,1112,1800000,100,0.0,1102.7,37800,9000,2021-02-17,14.2,80.0,50%,1457.21,23.8,15000,19500,2,미래에셋,1.0,2,0.9544,"[(0, 0.012637107), (1, 0.010129918), (2, 0.95439726), (3, 0.012018225), (4, 0.010817458)]"
199,유일에너테크,2021-02-25,16000,32000,1,34500,코스닥,중소일반,47015,10379,8164,5295,2415200,500,28.86,683.55,38643,24000,2021-02-16,2.5,77.5,50%,1427.69,61.06,11000,14000,2,신영,12.0,4,0.8827,"[(0, 0.034188747), (1, 0.027420076), (2, 0.023148652), (3, 0.032529972), (4, 0.88271254)]"
200,씨이랩,2021-02-24,35000,46600,0,40800,코스닥,중소일반,7089,95,62,1478,650000,500,0.0,195.53,22750,6500,2021-02-16,0.0,80.0,50%,1371.37,12.97,23000,31000,2,그외,17.0,3,0.886,"[(0, 0.03418873), (1, 0.027420064), (2, 0.023148706), (3, 0.8859616), (4, 0.029280894)]"
201,오로스테크놀로지,2021-02-24,21000,42000,1,54600,코스닥,중소일반,26901,9743,7570,4654,1900000,500,0.0,1033.82,39900,30000,2021-02-16,15.0,75.0,50%,1260.0,37.12,17000,21000,1,키움,7.0,4,0.8827,"[(0, 0.034188744), (1, 0.027420074), (2, 0.02314865), (3, 0.032529972), (4, 0.88271254)]"
202,피엔에이치테크,2021-02-16,18000,20500,0,23850,코스닥,중소일반,7127,-7627,-7627,1997,688000,500,27.33,1528.76,12384,5000,2021-02-04,0.0,75.0,50%,1454.47,9.58,14000,17000,2,한국,2.0,2,0.8275,"[(0, 0.047781754), (1, 0.03832193), (2, 0.82747906), (3, 0.04549465), (4, 0.040922605)]"
203,프레스티지바이오파마,2021-02-05,32000,28800,0,32800,거래소,중소일반,0,0,0,0,15341640,0,8.75,237.13,490932,0,2021-01-26,0.0,80.0,50%,819.76,19.31,25000,32000,1,삼성,3.0,1,0.8809,"[(0, 0.034188744), (1, 0.88085175), (2, 0.023148652), (3, 0.032529972), (4, 0.029280908)]"
204,아이퀘스트,2021-02-05,11000,22000,1,20000,코스닥,중소일반,13153,4220,3650,986,2000000,100,0.0,2853.34,22000,20000,2021-01-28,0.0,80.0,50%,1504.02,18.7,9200,10600,2,미래에셋,1.0,3,0.886,"[(0, 0.034188733), (1, 0.027420066), (2, 0.023148702), (3, 0.8859616), (4, 0.029280895)]"
