,company,listing_data,offering_price,starting_price,label,closing_price,stock_market,company_size,sales,profit_before_tax,income,capital,offering_number,par_value,old_sales_ratio,general_competition_rate,offering_price_total,subscription_limit,offering_date,ownership_ratio,institutional_ratio,subscription_margin_rate,institutional_competition_rate,obligatory,desired_offering_price_min,desired_offering_price_max,desired_offering_price,manager,manager_rank,topic,topic_per,each_topic_per
345,컴퍼니케이파트너스,2019-05-23,4500,8200,0,10650,코스닥,중소일반,9866,4487,3336,7805,4000000,500,0.0,850.46,18000,32000,2019-05-14,0.0,80.0,50%,865.66,27.8,3600,4000,2,NH,4.0,0,0.8429,"[(0, 0.84294015), (1, 0.038321782), (2, 0.03235235), (3, 0.04546328), (4, 0.040922444)]"
346,에스앤케이,2019-05-07,40400,36400,0,33650,코스닥,외국기업,0,0,0,0,4200000,0,0.0,185.17,169680,0,2019-04-24,0.0,80.0,50%,317.3,11.59,30800,40400,1,미래에셋,1.0,3,0.886,"[(0, 0.034188733), (1, 0.027420066), (2, 0.023148708), (3, 0.8859616), (4, 0.029280895)]"
347,아모그린텍,2019-03-29,9900,10300,0,10200,코스닥,중소일반,111297,-5251,-5238,8248,4128000,500,20.01,22.13,40867,40000,2019-03-20,5.0,75.0,50%,164.22,3.05,8800,9900,1,삼성,3.0,1,0.7236,"[(0, 0.07931587), (1, 0.72358304), (2, 0.053703506), (3, 0.07546762), (4, 0.067929976)]"
348,현대오토에버,2019-03-28,48000,75500,0,88700,거래소,중소일반,1473376,55180,0,10500,3510000,500,90.1,345.24,168480,15160,2019-03-20,20.0,60.0,50%,797.36,57.79,40000,44000,2,미래에셋,1.0,3,0.886,"[(0, 0.034188733), (1, 0.027420066), (2, 0.023148714), (3, 0.8859616), (4, 0.029280895)]"
349,지노믹트리,2019-03-27,27000,29450,0,27300,코스닥,중소일반,454,-2113,-2113,9993,4000000,500,0.0,13.1,108000,50000,2019-03-19,3.0,77.0,50%,372.0,22.8,17000,25000,2,키움,7.0,0,0.9394,"[(0, 0.9393634), (1, 0.014794328), (2, 0.012489672), (3, 0.017553957), (4, 0.015798653)]"
350,이지케어텍,2019-03-22,12300,24600,1,31950,코스닥,중소일반,55374,4367,3606,3193,1300000,500,0.0,1272.11,15990,13000,2019-03-13,11.5,68.5,50%,1108.03,40.25,10100,12300,1,미래에셋,1.0,3,0.886,"[(0, 0.034188733), (1, 0.027420066), (2, 0.023148712), (3, 0.8859616), (4, 0.029280895)]"
351,미래에셋벤처투자,2019-03-15,4500,6150,0,5310,코스닥,중소일반,54949,6760,6305,30667,4500000,1000,0.0,1021.77,20250,0,2019-03-08,4.4,75.6,50%,441.4,3.7,3700,4500,1,KB,5.0,0,0.8429,"[(0, 0.84294015), (1, 0.03832178), (2, 0.032352347), (3, 0.045463275), (4, 0.04092244)]"
352,드림텍,2019-03-14,13000,17350,0,15400,거래소,중소일반,527609,14235,9607,2758,4545546,100,46.48,562.7,59092,36300,2019-03-05,20.0,60.0,50%,395.96,0.8,11000,13000,1,NH,4.0,1,0.7236,"[(0, 0.07931586), (1, 0.72358304), (2, 0.0537035), (3, 0.07546761), (4, 0.06792997)]"
353,에코프로비엠,2019-03-05,48000,61100,0,63200,코스닥,중소일반,289870,15226,15159,9925,3000000,500,0.0,273.78,144000,27000,2019-02-22,20.0,60.0,50%,988.49,45.04,37500,42900,2,하나,8.0,0,0.8429,"[(0, 0.84293956), (1, 0.038321987), (2, 0.032352284), (3, 0.045463536), (4, 0.04092266)]"
354,셀리드,2019-02-20,33000,43750,0,51100,코스닥,중소일반,0,-5408,-5408,4105,1200000,500,0.0,818.83,39600,12000,2019-02-12,0.8,79.2,50%,778.77,10.49,25000,31000,2,삼성,3.0,1,0.8809,"[(0, 0.034188744), (1, 0.88085175), (2, 0.02314865), (3, 0.032529972), (4, 0.029280907)]"
355,천보,2019-02-11,40000,52500,0,47650,코스닥,중소일반,87606,16690,14822,5000,2500000,500,20.0,426.09,100000,25000,2019-01-29,10.0,70.0,50%,891.1,15.8,35000,40000,1,하나,8.0,2,0.8275,"[(0, 0.047781754), (1, 0.03832193), (2, 0.82747936), (3, 0.04549431), (4, 0.040922605)]"
356,이노테라피,2019-02-01,18000,22200,0,19350,코스닥,중소일반,180,-3012,-3012,2484,500000,500,0.0,463.37,9000,5000,2019-01-24,0.0,80.0,50%,154.44,2.83,20200,25200,0,대신,9.0,1,0.8809,"[(0, 0.034188744), (1, 0.88085175), (2, 0.023148652), (3, 0.032529972), (4, 0.029280908)]"
357,노랑풍선,2019-01-30,20000,30350,0,34150,코스닥,중소일반,83822,12879,10436,2382,1000000,500,26.44,1025.2,20000,0,2019-01-22,13.0,67.0,50%,978.43,12.42,15500,19000,2,한국,2.0,2,0.8273,"[(0, 0.047942296), (1, 0.038321756), (2, 0.82734734), (3, 0.045464452), (4, 0.04092414)]"
358,웹케시,2019-01-25,26000,31700,0,28500,코스닥,중소일반,77086,4618,3679,3381,970000,500,0.0,947.13,25220,0,2019-01-17,1.5,78.5,50%,614.0,6.8,24000,26000,1,하나,8.0,3,0.886,"[(0, 0.03418873), (1, 0.027420064), (2, 0.023148706), (3, 0.8859616), (4, 0.029280894)]"
359,에어부산,2018-12-27,3600,4020,0,5220,거래소,중소일반,561657,37120,28464,52070,5207000,1000,60.25,36.5,18745,0,2018-12-19,20.0,60.0,50%,23.89,0.4,3600,4000,1,미래에셋,1.0,4,0.8827,"[(0, 0.0341893), (1, 0.027420484), (2, 0.023148986), (3, 0.03253048), (4, 0.88271075)]"
360,비피도,2018-12-26,18000,36000,1,36500,코스닥,중소일반,13664,2902,2425,2045,410001,500,0.0,159.97,7380,7800,2018-12-18,4.7,75.3,50%,74.62,0.0,22100,28700,0,한국,2.0,0,0.8429,"[(0, 0.8429327), (1, 0.038321827), (2, 0.032352384), (3, 0.045470566), (4, 0.04092249)]"
361,유틸렉스,2018-12-24,50000,60100,0,78100,코스닥,중소일반,133,-9593,-9593,3631,727000,500,0.0,322.96,36350,5816,2018-12-14,6.0,74.0,50%,597.2,18.63,38000,50000,1,NH,4.0,3,0.8406,"[(0, 0.047781587), (1, 0.038321804), (2, 0.03235214), (3, 0.84062195), (4, 0.04092247)]"
362,디케이티,2018-12-21,7400,12900,0,10550,코스닥,중소일반,117043,6189,4611,4038,2019400,500,0.0,780.32,14944,16000,2018-12-13,2.74,77.26,50%,771.42,3.5,6000,7400,1,NH,4.0,1,0.7236,"[(0, 0.07931586), (1, 0.72358304), (2, 0.0537035), (3, 0.07546761), (4, 0.06792997)]"
363,위지윅스튜디오,2018-12-20,11000,11250,0,9350,코스닥,중소일반,12989,498,499,4399,2199515,500,0.0,6.84,24195,0,2018-12-13,0.0,80.0,50%,177.33,1.13,9000,13000,1,삼성,3.0,4,0.9367,"[(0, 0.018446282), (1, 0.014794291), (2, 0.012489675), (3, 0.017551301), (4, 0.93671846)]"
364,에이비엘바이오,2018-12-19,15000,13500,0,13650,코스닥,중소일반,71,-74734,-74734,22293,6000000,500,0.0,0.78,90000,120000,2018-12-12,0.0,80.0,50%,60.08,10.99,13000,17000,1,한국,2.0,3,0.9273,"[(0, 0.021798117), (1, 0.017476702), (2, 0.014754351), (3, 0.9273081), (4, 0.018662736)]"
365,머큐리,2018-12-14,6100,9630,0,7800,코스닥,중소일반,138330,4565,4443,7381,5120000,500,50.0,930.39,31232,51000,2018-12-06,6.0,74.0,50%,749.57,13.35,5200,6100,1,미래에셋,1.0,4,0.8827,"[(0, 0.034206156), (1, 0.027420156), (2, 0.02314871), (3, 0.032530062), (4, 0.8826949)]"
366,전진바이오팜,2018-12-14,10000,11550,0,12750,코스닥,중소일반,3136,-3041,-3041,2366,500000,500,0.0,24.8,5000,5000,2018-12-05,0.0,80.0,50%,14.69,27.2,15000,17000,0,미래에셋,1.0,0,0.8876,"[(0, 0.88761884), (1, 0.027420433), (2, 0.02314876), (3, 0.03252998), (4, 0.029281951)]"
367,뉴트리,2018-12-13,14500,13050,0,13900,코스닥,중소일반,60383,2956,2096,4516,2262000,500,19.98,0.19,32799,22000,2018-12-04,13.6,66.4,50%,28.68,0.0,14500,17000,1,미래에셋,1.0,0,0.8429,"[(0, 0.84293276), (1, 0.038321834), (2, 0.032352388), (3, 0.04547056), (4, 0.040922496)]"
368,이노메트리,2018-12-12,26000,40000,0,29550,코스닥,중소일반,14063,1440,1177,2412,1206277,500,0.0,791.16,31363,24000,2018-12-04,3.0,77.0,50%,765.22,11.39,21000,25000,2,유진,14.0,4,0.8827,"[(0, 0.034188744), (1, 0.027420077), (2, 0.02314865), (3, 0.032529972), (4, 0.88271254)]"
369,대유에이피,2018-12-07,3000,6000,1,4935,코스닥,중소일반,206580,8175,6502,5442,2800000,500,0.0,11.12,8400,28000,2018-11-28,10.0,70.0,50%,299.23,0.0,2600,3300,1,신영,12.0,1,0.8809,"[(0, 0.034188855), (1, 0.8808513), (2, 0.023148755), (3, 0.03253007), (4, 0.02928099)]"
370,에코캡,2018-12-05,4200,4100,0,5330,코스닥,중소일반,84224,4320,2783,1455,4000000,100,0.0,0.35,16800,40000,2018-11-20,3.0,77.0,50%,20.66,0.0,4200,5200,1,IBK,16.0,0,0.4673,"[(0, 0.46734148), (1, 0.46651322), (2, 0.018022427), (3, 0.025326265), (4, 0.022796668)]"
371,베스파,2018-12-03,35000,33400,0,30000,코스닥,중소일반,31115,5560,5735,3993,1600000,500,0.0,3.3,56000,0,2018-11-22,0.0,80.0,50%,24.0,0.0,44800,59700,0,미래에셋,1.0,3,0.886,"[(0, 0.034188733), (1, 0.027420066), (2, 0.023148708), (3, 0.8859616), (4, 0.029280895)]"
372,윙입푸드,2018-11-30,2000,1800,0,2340,코스닥,중소일반,82064,22031,16388,0,10200000,0,0.0,0.71,20400,200000,2018-11-22,0.0,80.0,50%,131.15,0.0,2000,3000,1,유진,14.0,4,0.9367,"[(0, 0.018451197), (1, 0.014794324), (2, 0.012490297), (3, 0.0175521), (4, 0.936712)]"
373,남화산업,2018-11-29,3700,5610,0,7290,코스닥,중소일반,14214,10805,8543,4117,3088000,200,0.0,858.4,11426,30000,2018-11-16,20.0,60.0,50%,822.09,6.14,3100,3700,1,대신,9.0,2,0.7136,"[(0, 0.07934846), (1, 0.063612975), (2, 0.71362865), (3, 0.07547269), (4, 0.067937225)]"
374,엠아이텍,2018-11-29,4500,4050,0,4770,코스닥,중소일반,22541,1537,2051,13728,7000000,500,50.0,883.39,31500,70000,2018-11-20,4.9,75.1,50%,472.57,0.42,3900,4500,1,하나,8.0,0,0.8429,"[(0, 0.84294015), (1, 0.038321804), (2, 0.032352366), (3, 0.045463294), (4, 0.040922422)]"
375,티로보틱스,2018-11-29,16000,14400,0,13050,코스닥,중소일반,70378,4657,7308,2699,800000,500,0.0,177.86,12800,10000,2018-11-20,5.0,75.0,50%,56.9,0.0,16000,18000,1,키움,7.0,4,0.8827,"[(0, 0.034188744), (1, 0.027420077), (2, 0.02314865), (3, 0.032529972), (4, 0.88271254)]"
376,티앤알바이오팹,2018-11-28,18000,16200,0,12500,코스닥,중소일반,406,-4058,-4058,4059,1200000,500,0.0,500.35,21600,16000,2018-11-16,0.0,80.0,50%,101.9,1.0,18000,23000,1,키움,7.0,0,0.8429,"[(0, 0.84294015), (1, 0.0383218), (2, 0.03235236), (3, 0.04546329), (4, 0.04092242)]"
377,네오펙트,2018-11-28,11000,9900,0,7700,코스닥,중소일반,7288,160,160,5937,1800000,500,0.0,400.8,19800,30000,2018-11-20,0.0,80.0,50%,338.01,0.89,10000,12500,1,한국,2.0,0,0.8429,"[(0, 0.84294015), (1, 0.0383218), (2, 0.03235236), (3, 0.04546329), (4, 0.04092242)]"
378,아시아나IDT,2018-11-23,15000,14300,0,12450,거래소,중소일반,264919,25127,19397,5550,3300000,500,66.67,1.21,49500,33000,2018-11-15,20.0,60.0,50%,7.04,0.0,19300,24100,0,KB,5.0,3,0.9273,"[(0, 0.021790903), (1, 0.017476745), (2, 0.014754263), (3, 0.92731535), (4, 0.018662782)]"
379,디알젬,2018-11-22,6500,8470,0,6760,코스닥,중소일반,49324,3937,4132,5662,1500000,500,0.0,832.96,9750,30000,2018-11-13,20.0,60.0,50%,785.43,1.05,5000,7000,1,한국,2.0,0,0.8429,"[(0, 0.84294015), (1, 0.038321804), (2, 0.032352366), (3, 0.045463294), (4, 0.040922422)]"
380,싸이토젠,2018-11-22,17000,17800,0,15600,코스닥,중소일반,850,-2149,-2149,2816,1200000,500,0.0,705.49,20400,16000,2018-11-14,4.0,76.0,50%,608.85,0.7,13000,17000,1,키움,7.0,1,0.8809,"[(0, 0.03418874), (1, 0.88085175), (2, 0.023148648), (3, 0.03252997), (4, 0.029280903)]"
381,파멥신,2018-11-21,60000,58100,0,63600,코스닥,중소벤쳐,209,-6483,-6483,3402,800000,500,0.0,322.78,48000,7000,2018-11-13,2.63,77.67,50%,764.16,18.81,43000,55000,2,삼성,3.0,3,0.7354,"[(0, 0.079316005), (1, 0.06361305), (2, 0.05370358), (3, 0.7354373), (4, 0.06793008)]"
382,아주IB투자,2018-11-21,1500,1350,0,1150,코스닥,중소일반,69732,16113,13044,59357,24400000,500,50.0,63.76,36600,170000,2018-11-14,1.7,78.3,50%,40.55,0.0,2000,2400,0,미래에셋,1.0,0,0.8429,"[(0, 0.84294015), (1, 0.03832178), (2, 0.032352347), (3, 0.045463275), (4, 0.04092244)]"
383,디케이앤디,2018-11-20,6000,7570,0,6230,코스닥,중소일반,33757,92,-563,3800,1800000,500,35.56,975.69,10800,24000,2018-11-08,2.2,77.8,50%,256.3,0.0,5800,6600,1,키움,7.0,4,0.8359,"[(0, 0.047984425), (1, 0.03832582), (2, 0.03235223), (3, 0.045463458), (4, 0.8358741)]"
384,디자인,2018-11-15,10100,20200,1,15200,코스닥,중소일반,30472,2711,2225,1330,397000,500,0.0,665.04,4010,3500,2018-11-08,0.0,80.0,50%,771.73,3.86,9000,10100,1,대신,9.0,2,0.9423,"[(0, 0.015992658), (1, 0.012825687), (2, 0.9422577), (3, 0.015227832), (4, 0.013696087)]"
385,노바렉스,2018-11-14,19000,25450,0,20100,코스닥,중소일반,80854,10172,8567,4501,960000,500,0.0,631.42,18240,19200,2018-11-06,20.0,60.0,50%,48.64,18.99,19000,24000,1,NH,4.0,1,0.8809,"[(0, 0.034188744), (1, 0.88085175), (2, 0.02314865), (3, 0.032529972), (4, 0.029280907)]"
386,셀리버리,2018-11-09,25000,32000,0,28700,코스닥,중소일반,2774,-15014,-15008,3806,1140000,500,0.0,808.45,28500,20000,2018-10-30,7.32,72.68,50%,698.98,16.8,20000,25000,1,DB,15.0,1,0.8809,"[(0, 0.034188744), (1, 0.88085175), (2, 0.023148652), (3, 0.032529972), (4, 0.029280908)]"
387,대보마그네틱,2018-11-06,31000,60200,0,58500,코스닥,중소일반,13165,4596,3760,1616,820000,500,26.83,837.58,25420,5000,2018-10-26,0.0,80.0,50%,995.4,45.41,22500,25500,2,한국,2.0,0,0.8876,"[(0, 0.8876128), (1, 0.027420212), (2, 0.02314999), (3, 0.03253012), (4, 0.029286807)]"
388,노바텍,2018-11-02,10000,14100,0,18300,코스닥,중소일반,21284,4419,3975,2313,1450000,500,30.0,326.67,14500,14000,2018-10-24,1.0,79.0,50%,66.32,0.03,12500,16500,0,하나,8.0,0,0.8429,"[(0, 0.84293723), (1, 0.038322512), (2, 0.032352302), (3, 0.045463208), (4, 0.040924713)]"
389,엘앤씨바이오,2018-11-01,24000,29800,0,26950,코스닥,중소일반,17901,4613,3753,3617,1000000,500,0.0,985.59,24000,15000,2018-10-24,10.0,70.0,50%,937.08,17.27,18000,20000,2,한국,2.0,3,0.6905,"[(0, 0.24732065), (1, 0.021348134), (2, 0.018022893), (3, 0.69051147), (4, 0.02279685)]"
390,옵티팜,2018-10-26,10000,9000,0,11700,코스닥,중소일반,13857,-1567,-1567,7108,2945890,500,25.32,463.49,29459,23200,2018-10-17,6.8,73.2,50%,94.57,11.6,10000,12000,1,NH,4.0,0,0.9394,"[(0, 0.93936336), (1, 0.014794326), (2, 0.012489671), (3, 0.017553963), (4, 0.01579865)]"
391,로보티즈,2018-10-26,14000,28000,1,19600,코스닥,중소일반,17914,1808,1781,5625,1700000,500,0.0,1043.92,23800,0,2018-10-18,15.0,65.0,50%,958.6,39.8,9200,11300,2,미래에셋,1.0,4,0.8827,"[(0, 0.034188744), (1, 0.027420077), (2, 0.02314865), (3, 0.032529972), (4, 0.88271254)]"
392,에스퓨얼셀,2018-10-15,16500,33000,1,33800,코스닥,중소일반,20295,3233,2789,2872,1890000,500,33.33,857.78,31185,30000,2018-10-02,3.0,77.0,50%,942.85,40.5,10600,14000,2,한국,2.0,2,0.9423,"[(0, 0.01599266), (1, 0.012825688), (2, 0.9422577), (3, 0.015227843), (4, 0.013696087)]"
393,나우아이비캐피탈,2018-10-04,8500,9300,0,7180,코스닥,중소일반,13755,7177,5512,47400,2500000,5000,24.0,64.89,21250,25000,2018-09-18,0.0,80.0,50%,63.17,0.0,9500,11000,0,신영,12.0,0,0.8429,"[(0, 0.84294015), (1, 0.038321782), (2, 0.03235235), (3, 0.04546328), (4, 0.040922444)]"
394,푸드나무,2018-10-04,24000,43350,0,34000,코스닥,중소일반,34826,4334,3922,3403,1555810,500,13.04,914.05,37339,0,2018-09-19,3.0,77.0,50%,791.08,16.5,18700,22700,2,미래에셋,1.0,0,0.7393,"[(0, 0.7392826), (1, 0.06361377), (2, 0.05370417), (3, 0.075468644), (4, 0.06793085)]"
395,하나제약,2018-10-02,26000,30100,0,33150,거래소,중소일반,139331,30968,24310,8100,4081460,500,0.0,147.5,106118,40500,2018-09-18,20.0,60.0,50%,101.5,0.1,24500,28000,1,미래에셋,1.0,3,0.7354,"[(0, 0.079316005), (1, 0.06361305), (2, 0.05370358), (3, 0.7354373), (4, 0.06793008)]"
396,크리스에프앤씨,2018-10-01,30000,27000,0,24000,코스닥,중소일반,277417,45112,34158,11715,3516000,1000,50.0,0.53,105480,31000,2018-09-18,10.5,69.5,50%,7.89,0.0,34000,38200,0,KB,5.0,2,0.8275,"[(0, 0.047814213), (1, 0.038322397), (2, 0.8274762), (3, 0.04546405), (4, 0.040923104)]"
397,지티지웰니스,2018-09-21,11000,15250,0,0,코스닥,중소일반,23053,2886,2459,2826,800000,500,0.0,514.16,8800,8000,2018-09-13,12.5,67.5,50%,946.89,4.22,9000,9800,2,대신,9.0,0,0.8429,"[(0, 0.84294015), (1, 0.038321804), (2, 0.032352366), (3, 0.045463294), (4, 0.040922422)]"
398,우진아이엔에스,2018-09-14,15000,15150,0,19650,거래소,중소일반,140446,21951,16846,3811,2100000,500,33.33,11.17,31500,21000,2018-09-06,20.0,60.0,50%,129.06,0.77,15000,17000,1,신영,12.0,1,0.9072,"[(0, 0.026617408), (1, 0.9072367), (2, 0.018022435), (3, 0.025325961), (4, 0.022797462)]"
399,명성티엔에스,2018-09-13,20000,22000,0,28600,코스닥,중소일반,64575,7041,5857,3185,1600000,500,37.5,804.79,32000,16000,2018-09-05,6.25,73.75,50%,745.56,11.73,16100,18700,2,KB,5.0,4,0.8827,"[(0, 0.034188747), (1, 0.027420076), (2, 0.023148652), (3, 0.032529972), (4, 0.88271254)]"
400,디지캡,2018-09-07,12000,13250,0,10900,코스닥,중소일반,16311,2325,2045,1765,584446,500,38.4,931.79,7013,5500,2018-08-29,0.0,80.0,50%,979.06,4.18,8500,10500,2,KB,5.0,3,0.886,"[(0, 0.034188736), (1, 0.027420068), (2, 0.023148714), (3, 0.8859616), (4, 0.029280897)]"
401,액트로,2018-08-28,20000,20700,0,18000,코스닥,중소일반,50659,6810,5654,2500,1200000,500,0.0,545.42,24000,16000,2018-08-17,2.0,78.0,50%,132.07,1.86,20000,24000,1,키움,7.0,4,0.8827,"[(0, 0.034188744), (1, 0.027420074), (2, 0.02314865), (3, 0.032529972), (4, 0.88271254)]"
402,오파스넷,2018-08-24,11000,18000,0,14200,코스닥,중소일반,71416,4030,3080,2012,1008000,500,0.0,1401.36,11088,20000,2018-08-14,0.0,80.0,50%,861.66,14.22,8500,9700,2,교보,11.0,3,0.9273,"[(0, 0.021790903), (1, 0.017476745), (2, 0.014754263), (3, 0.92731535), (4, 0.018662782)]"
403,에이피티씨,2018-08-23,9000,9310,0,7980,코스닥,중소일반,41122,12807,10850,2323,2300000,100,0.0,22.69,20700,23000,2018-08-14,0.0,80.0,50%,20.99,8.7,11500,13000,0,대신,9.0,4,0.7279,"[(0, 0.079316005), (1, 0.06361305), (2, 0.05370358), (3, 0.075467736), (4, 0.7278996)]"
404,바이오솔루션,2018-08-20,29000,28200,0,28500,코스닥,중소일반,5011,-1806,-1806,3829,1500000,500,0.0,302.62,43500,30000,2018-08-10,3.3,76.7,50%,174.79,5.04,24000,29000,1,한국,2.0,0,0.9394,"[(0, 0.93936336), (1, 0.014794326), (2, 0.012489671), (3, 0.017553965), (4, 0.01579865)]"
405,대유,2018-08-10,9000,13250,0,12400,코스닥,중소일반,28494,6971,5458,4526,3080000,500,3.9,11.65,27720,30000,2018-08-02,0.0,80.0,50%,148.39,0.0,8900,10000,1,KB,5.0,0,0.9125,"[(0, 0.9125064), (1, 0.021348003), (2, 0.018022453), (3, 0.025326377), (4, 0.022796765)]"
406,디아이티,2018-08-07,10000,10550,0,10650,코스닥,중소일반,85994,13771,11909,1890,3757500,100,0.0,11.1,37575,36000,2018-07-26,20.0,60.0,50%,105.14,6.8,9400,10400,1,삼성,3.0,4,0.8827,"[(0, 0.034188744), (1, 0.027420077), (2, 0.02314865), (3, 0.032529972), (4, 0.88271254)]"
407,에스에스알,2018-08-06,9000,18000,1,23400,코스닥,중소일반,11326,2789,2515,2831,1420000,500,0.0,1231.66,12780,14000,2018-07-27,0.0,80.0,50%,928.44,41.62,6600,7500,2,하나,8.0,3,0.9384,"[(0, 0.0184652), (1, 0.014794437), (2, 0.012491547), (3, 0.9384462), (4, 0.015802598)]"
408,휴네시온,2018-08-02,10000,15000,0,16350,코스닥,중소일반,13193,3469,2995,2401,1390530,500,14.38,827.74,13905,10800,2018-07-26,7.5,72.5,50%,751.89,8.9,8700,10000,1,NH,4.0,3,0.886,"[(0, 0.034188733), (1, 0.027420066), (2, 0.023148702), (3, 0.8859616), (4, 0.029280895)]"
409,티웨이항공,2018-08-01,12000,11600,0,11550,거래소,중소일반,584032,44644,39708,23487,16000000,500,25.26,1.15,192000,0,2018-07-24,20.0,60.0,50%,23.03,0.0,14600,16700,0,신한,6.0,4,0.8827,"[(0, 0.0341893), (1, 0.027420484), (2, 0.023148986), (3, 0.03253048), (4, 0.88271075)]"
410,롯데정보통신,2018-07-27,29800,30550,0,29000,거래소,중소일반,691297,27692,20675,71430,4286000,5000,0.0,34.22,127723,0,2018-07-18,20.0,60.0,50%,79.33,25.9,28300,33800,1,미래에셋,1.0,3,0.9385,"[(0, 0.018446265), (1, 0.014794279), (2, 0.012489679), (3, 0.9384715), (4, 0.015798274)]"
411,한국유니온제약,2018-07-26,18000,23000,0,19500,코스닥,중소일반,47470,5411,4420,2931,1500000,500,0.0,1015.13,27000,30000,2018-07-18,17.93,62.07,50%,918.99,9.4,13500,16000,2,DB,15.0,3,0.8406,"[(0, 0.04778184), (1, 0.038321994), (2, 0.03235229), (3, 0.84062123), (4, 0.04092267)]"
412,엠코르셋,2018-07-23,11500,11050,0,12950,코스닥,중소일반,124300,9770,7757,5036,2518500,500,20.0,51.47,28963,50000,2018-07-13,0.0,80.0,50%,766.05,16.4,10100,11500,1,대신,9.0,0,0.2333,"[(0, 0.23326142), (1, 0.18708047), (2, 0.1579376), (3, 0.22194403), (4, 0.19977646)]"
413,올릭스,2018-07-18,36000,72000,1,65600,코스닥,중소일반,244,-51,-5164,3216,1200000,500,0.0,847.09,43200,9600,2018-07-10,0.0,80.0,50%,876.72,74.03,26000,30000,2,NH,4.0,3,0.6012,"[(0, 0.034189273), (1, 0.31222862), (2, 0.023148969), (3, 0.6011518), (4, 0.029281322)]"
414,아이큐어,2018-07-12,65000,58500,0,60600,코스닥,중소일반,35674,243,240,3061,1200000,500,0.0,331.42,78000,16000,2018-07-05,5.0,75.0,50%,642.1,5.08,44000,55000,2,키움,7.0,3,0.7354,"[(0, 0.079316), (1, 0.06361305), (2, 0.053703576), (3, 0.73543733), (4, 0.06793007)]"
415,에스브이인베스트먼트,2018-07-06,7000,9000,0,7710,코스닥,중소일반,10450,2548,2113,13308,3900000,500,0.0,974.23,27300,39000,2018-06-28,0.0,80.0,50%,786.73,4.7,5600,6300,2,미래에셋,1.0,0,0.8429,"[(0, 0.84294015), (1, 0.03832178), (2, 0.032352347), (3, 0.045463275), (4, 0.04092244)]"
416,이리츠코크렙기업,2018-06-27,5000,5010,0,4600,거래소,중소일반,9400,3462,3462,31670,15821470,500,0.0,0.45,79107,1582147,2018-06-15,0.0,60.0,100%,6.29,0.0,4800,5200,1,NH,4.0,1,0.5606,"[(0, 0.034188997), (1, 0.5605907), (2, 0.023148993), (3, 0.35279027), (4, 0.029281104)]"
417,이원다이애그노믹스,2018-06-26,6500,9000,0,10800,코스닥,중소일반,1449,-3606,-3606,3589,7200000,100,0.0,810.33,46800,110000,2018-06-19,6.0,74.0,50%,749.79,27.87,4700,5700,2,삼성,3.0,1,0.8809,"[(0, 0.034188744), (1, 0.88085175), (2, 0.02314865), (3, 0.032529972), (4, 0.029280907)]"
418,파워넷,2018-06-07,6500,10100,0,7750,코스닥,중소일반,137731,7019,6114,12009,3570748,1000,50.0,1144.0,23210,70000,2018-05-30,6.84,73.16,50%,590.6,7.66,5500,6500,1,DB,15.0,2,0.9423,"[(0, 0.015992658), (1, 0.012825687), (2, 0.9422577), (3, 0.015227829), (4, 0.013696087)]"
419,현대사료,2018-06-01,6600,13200,1,17150,코스닥,중소일반,106532,4502,3513,3075,1526180,500,0.0,1690.0,10073,30000,2018-05-24,10.0,70.0,50%,839.16,31.92,5700,6600,1,신한,6.0,0,0.8876,"[(0, 0.88761365), (1, 0.02742076), (2, 0.023149211), (3, 0.03253473), (4, 0.02928164)]"
420,세종메디칼,2018-05-29,15000,23100,0,30000,코스닥,중소일반,12773,3870,3192,3388,2030000,500,39.9,922.71,30450,39000,2018-05-21,0.0,80.0,50%,836.68,39.75,10800,13700,2,한국,2.0,0,0.8429,"[(0, 0.84294015), (1, 0.038321804), (2, 0.032352366), (3, 0.045463294), (4, 0.040922422)]"
421,제노레이,2018-05-28,23000,45900,0,37350,코스닥,중소일반,35467,3045,2905,2211,601942,500,24.34,1028.72,13845,4000,2018-05-17,20.0,60.0,50%,907.12,32.59,17500,20500,2,한국,2.0,0,0.8429,"[(0, 0.84294015), (1, 0.0383218), (2, 0.03235236), (3, 0.04546329), (4, 0.04092242)]"
422,제이티씨(JTC),2018-04-06,8500,14050,0,16300,코스닥,중소일반,0,0,0,0,10534400,0,8.54,465.63,89542,100000,2018-03-27,0.0,80.0,50%,478.0,24.17,6200,7600,2,삼성,3.0,0,0.8429,"[(0, 0.8429379), (1, 0.038322385), (2, 0.03235261), (3, 0.04546404), (4, 0.040923093)]"
423,케어랩스,2018-03-28,20000,40000,1,52000,코스닥,중소일반,18597,2109,1935,2988,1300000,500,0.0,886.14,26000,8000,2018-03-20,20.0,60.0,50%,934.42,40.19,15000,18000,2,한국,2.0,3,0.886,"[(0, 0.034188733), (1, 0.027420066), (2, 0.023148715), (3, 0.8859616), (4, 0.029280895)]"
424,애경산업,2018-03-22,29100,28000,0,34000,거래소,중소일반,506780,27455,21546,26122,6800000,1000,29.41,6.73,197880,45000,2018-03-14,20.0,60.0,50%,24.3,8.51,29100,34100,1,NH,4.0,0,0.8876,"[(0, 0.88761884), (1, 0.027420435), (2, 0.023148762), (3, 0.032529984), (4, 0.029281953)]"
