,offering_price,stock_market,company_size,sales,profit_before_tax,income,capital,offering_number,par_value,old_sales_ratio,general_competition_rate,offering_price_total,subscription_limit,ownership_ratio,institutional_ratio,subscription_margin_rate,institutional_competition_rate,obligatory,desired_offering_price,manager_rank,topic,label
824,36000,1,2,244,-51,-5164,3216,1200000,500,0.0,847.09,43200,9600,0.0,80.0,1,876.72,74.03,2,4.0,3,1
825,105000,0,2,263037,76617,63684,71297,21390000,1000,0.0,288.17,2245950,0,20.0,75.0,1,1882.88,63.2,1,1.0,0,1
826,11000,1,2,116861,2131,-216,1429,3552037,100,40.0,117.63,39072,88000,0.0,75.0,1,37.51,0.45,0,9.0,1,1
827,10000,1,2,1694,-5361,-5497,7922,2650000,500,0.0,1201.26,26500,13000,10.0,70.0,1,1489.9,19.9,2,1.0,4,1
828,13000,1,2,47343,1846,2011,6183,2500000,500,0.0,2686.22,32500,24000,4.4,75.0,1,1831.23,22.84,2,4.0,4,1
829,13000,1,2,27040,8704,8748,2385,960000,500,0.0,735.99,12480,9600,0.0,80.0,1,224.12,24.62,1,17.0,3,1
830,53000,0,2,3018454,71378,96302,12500,28749950,100,0.0,194.9,1523747,105000,20.0,50.0,1,465.0,35.14,1,1.0,4,1
831,10000,1,2,3120,-1540,-1597,3400,680741,500,0.0,799.09,6807,5440,20.0,60.0,1,564.87,21.72,1,4.0,0,1
832,16000,1,2,47015,10379,8164,5295,2415200,500,28.86,683.55,38643,24000,2.5,77.5,1,1427.69,61.06,2,12.0,4,1
833,34300,0,2,113525,15369,15579,18156,10893990,500,33.33,654.5,373664,50000,20.0,75.0,1,1471.01,61.52,1,1.0,0,1
834,15000,0,2,169781,30034,8636,11953,9562750,500,0.0,263.87,143441,95000,20.0,60.0,1,524.56,34.44,1,4.0,3,1
835,5000,1,2,20851,2240,1808,793,2000000,100,12.5,1772.59,10000,30000,5.0,70.0,1,1547.13,12.24,2,7.0,0,1
